Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0,0,0,5,156,0,0.04,0,0,2,1,1,9,3,2,0,0
4,64.6,0,0,32,1135.444,0.002857143,0.00952381,0,0,2,2,2,1,3,2,0,0
0,0,0,0,4,76,0.05,0.1,0,0,2,1,1,1,3,2,0,0
0,0,0,0,4,63,0,0.05,0,0.2,2,2,6,1,3,2,0,0
1,6,1,0,45,1582.75,0.04347826,0.05082126,54.17976,0.4,2,3,2,1,1,2,0,0
0,0,0,0,2,35,0,0.1,0,0,2,1,1,6,3,2,0,0
0,0,0,0,3,78,0,0.06666667,0,0,2,1,2,6,6,2,1,0
0,0,0,0,8,209.5,0,0.025,0,0,2,2,2,1,1,2,0,0
0,0,0,0,10,183.6667,0.04,0.08,0,0,2,1,1,3,1,2,0,0
0,0,0,0,14,380.5,0.01428571,0.02857143,0,0,2,2,2,1,1,2,0,0
0,0,0,0,52,2086.243,0.01538462,0.02035256,0,0,2,2,2,7,1,2,0,0
0,0,0,0,8,388,0.025,0.05625,0,0,2,3,2,1,4,2,1,0
2,18,0,0,5,298,0,0.02857143,0,0.8,2,2,2,8,4,2,0,0
0,0,0,0,7,63,0.02857143,0.07142857,0,0.6,2,2,2,1,3,2,0,0
0,0,0,0,9,482,0,0.02222222,0,0,2,2,5,1,6,2,0,0
1,9,0,0,46,4084.394,0,0.001794872,0,0,2,2,2,8,4,2,0,0
0,0,0,0,3,22,0,0.06666667,0,0.6,2,1,1,3,2,2,0,0
0,0,0,0,15,310.1667,0,0.006666667,0,0,2,1,1,4,4,2,0,0
0,0,0,0,2,34,0,0.05,0,0.4,2,3,2,2,3,2,0,0
0,0,0,0,4,88,0,0.05,0,0,2,4,1,1,3,2,0,0
0,0,0,0,22,622.25,0.003030303,0.006060606,0,0.2,2,2,5,1,4,2,0,0
0,0,0,0,14,222.4,0.01714286,0.05714286,0,0,2,1,1,1,2,2,0,0
0,0,0,0,3,80,0.06666667,0.1333333,0,0.2,2,3,2,1,3,2,0,0
0,0,0,0,11,800.8333,0,0.003636364,0,0,2,3,2,1,3,2,0,0
0,-1,0,-1,1,-1,0.2,0.2,0,0.6,2,2,2,3,2,2,0,0
0,-1,0,-1,1,-1,0.2,0.2,0,0,2,1,1,3,4,2,1,0
0,0,0,0,12,265.1667,0.01111111,0.02611111,0,0.2,2,3,2,1,3,2,0,0
0,0,0,0,2,29,0,0.1,0,1,2,2,4,4,2,2,1,0
0,0,0,0,4,160,0,0.075,0,0,2,4,2,2,3,2,0,0
0,0,0,0,4,135.6667,0.05,0.025,0,0.4,2,3,3,1,4,2,0,0
0,0,0,0,1,0,0.2,0.2,0,0.2,2,2,4,1,3,2,0,0
0,0,0,0,1,0,0.2,0.2,0,0.6,2,3,2,3,3,2,0,0
4,56,2,120,36,998.7417,0,0.01473647,19.44708,0.2,2,2,2,4,1,2,0,0
0,0,0,0,4,104,0,0.05,0,0.4,2,2,6,6,3,2,0,0
2,16,0,0,16,381.6865,0.01176471,0.04656863,0,0.6,2,2,4,2,1,2,0,0
0,0,0,0,6,169,0,0.01666667,0,0.4,2,1,1,3,3,2,0,0
0,0,0,0,8,400.8,0.05,0.1208333,0,0,2,1,1,1,3,2,0,0
12,279.4167,0,0,42,1553.583,0.009,0.01966667,38.30849,0,2,1,1,3,2,2,0,0
0,0,0,0,14,706.5,0,0.007142857,0,0,2,2,2,5,4,2,1,0
0,-1,0,-1,1,-1,0.2,0.2,0,0,2,2,2,4,3,2,0,0
3,87.83333,0,0,27,798.3333,0,0.01264368,22.91604,0.8,2,2,2,3,1,2,0,1
4,44,0,0,90,6951.972,0.002150538,0.01501303,0,0,2,4,1,1,3,2,0,0
0,0,0,0,1,0,0.2,0.2,0,0.6,2,2,2,5,1,2,0,0
0,0,0,0,18,902,0,0.007407407,0,0,2,2,7,2,4,2,0,0
0,0,0,0,1,0,0.2,0.2,0,0.2,2,3,2,3,3,2,0,0
0,0,0,0,1,0,0.2,0.2,0,0,2,2,6,1,2,2,0,0
0,0,0,0,20,197.3778,0.025,0.0525,0,0,2,2,6,6,1,2,0,0
0,0,0,0,2,43,0,0.1,0,0.4,2,2,2,3,3,2,0,0
0,0,0,0,8,426.6667,0,0.0125,0,0,2,2,4,3,2,2,0,0
0,0,0,0,3,135,0,0.06666667,0,0,2,2,4,3,3,2,0,0
0,0,0,0,16,588.3333,0,0.025,0,0,2,2,4,1,1,2,0,0
10,1005.667,0,0,36,2111.342,0.004347826,0.01449275,11.43941,0,2,2,6,1,2,2,0,1
0,0,0,0,2,76,0,0.05,0,0.6,2,3,2,3,3,2,0,0
0,0,0,0,1,0,0.2,0.2,0,1,2,1,1,1,3,2,1,0
0,0,0,0,1,0,0.2,0.2,0,0.4,2,1,1,1,3,2,0,0
0,0,0,0,7,208,0,0.02857143,0,0,2,4,1,1,5,2,1,0
0,0,0,0,4,270,0,0.01666667,0,0.8,2,1,1,1,3,2,0,0
0,0,0,0,6,39.5,0,0.02,0,0,2,2,2,1,3,2,0,0
0,0,0,0,12,375,0.01666667,0.05833333,0,0,2,3,2,4,1,2,0,0
0,0,0,0,1,0,0.2,0.2,0,0.8,2,2,2,2,1,2,1,0
0,0,0,0,1,0,0.2,0.2,0,0,2,1,1,1,3,2,0,0
0,0,0,0,7,150,0.05714286,0.08571429,0,0,2,2,2,2,1,2,0,0
0,0,0,0,3,138,0,0.06666667,0,0,2,1,1,1,3,2,0,0
0,0,0,0,7,337.5,0.02857143,0.02380952,0,0.4,2,4,1,3,3,2,0,0
0,0,0,0,19,620.0333,0,0.007894737,0,0,2,1,1,4,2,2,0,0
2,36,0,0,15,168.8462,0,0.01176471,0,0.4,2,1,1,1,3,2,0,0
0,0,0,0,1,0,0.2,0.2,0,0,2,1,1,1,2,2,1,0
0,0,0,0,2,52,0,0.1,0,0,2,1,1,1,3,2,0,0
0,0,0,0,13,649.25,0,0.01538462,0,0,2,2,2,1,5,0,0,0
0,0,0,0,27,925.3333,0.003703704,0.02592593,0,0.6,2,4,1,3,3,2,0,0
0,0,0,0,2,33,0,0.1,0,0.2,2,1,1,1,3,2,0,0
0,0,0,0,6,1566.5,0.05,0.06666667,0,0.2,2,1,1,1,3,2,0,0
0,0,0,0,4,105,0,0.025,0,0.6,2,1,1,1,4,2,0,0
0,0,1,0,7,50,0.03809524,0.08095238,0,0.6,2,2,4,1,7,2,0,0
0,0,0,0,16,644.2,0.004166667,0.03166667,0,0,2,3,2,3,4,2,0,0
3,18.33333,0,0,38,2635.178,0,0.008947368,0,0.4,2,2,4,1,2,2,0,0
4,61,0,0,19,607,0,0.02698413,17.53596,1,2,1,1,7,4,2,1,1
0,0,0,0,6,415,0,0.03333333,0,0.4,2,1,1,3,2,2,0,0
2,31,1,16,36,2083.531,0,0.01351025,0,0.8,2,2,2,4,3,2,0,0
3,58.5,0,0,17,281.6667,0.007058824,0.01764706,0,0,2,1,1,3,4,2,0,0
0,0,0,0,2,27,0.15,0.15,0,0,2,1,1,7,2,2,0,0
0,0,1,0,9,215,0.04444444,0.07407407,0,0.8,2,4,1,1,3,2,0,0
0,0,0,0,12,162,0.05,0.06666667,0,0,2,1,1,1,3,2,0,0
0,0,0,0,2,114,0.05,0.06666667,0,0.8,2,3,3,1,3,2,0,0
6,326.25,4,94,128,5062.214,0.000854701,0.01791847,0,0,2,2,5,1,3,2,0,0
0,0,0,0,4,253,0,0.01666667,0,0.6,2,2,2,3,3,2,0,0
0,0,0,0,4,0,0.2,0.2,0,0.4,2,2,2,1,3,2,0,0
0,0,0,0,1,0,0.2,0.2,0,0.8,2,1,1,2,3,2,0,0
2,22,0,0,25,436.5,0.008,0.024,0,0.2,2,2,4,1,1,2,0,0
0,0,1,93,30,1045.833,0.01290323,0.03548387,0,0.2,2,1,1,1,3,2,0,0
0,0,0,0,12,317.8333,0,0.005555556,0,0,2,1,1,1,4,2,1,0
0,0,0,0,21,1146.333,0,0.01296296,0,0.8,2,3,2,1,3,2,0,0
0,0,0,0,11,577,0.01818182,0.02727273,0,0.2,2,2,2,3,1,2,0,0
0,0,0,0,8,95,0,0.075,0,0,2,4,1,3,3,2,0,0
0,0,0,0,6,301.5,0,0.1111111,0,0,2,2,4,9,3,2,0,0
0,0,0,0,6,243,0,0.03333333,0,0,2,2,4,4,1,2,0,0
0,0,0,0,4,135.5,0,0.05,0,0.6,2,2,2,1,2,2,0,0
0,0,2,75,14,442.3333,0,0.034375,0,0.8,2,1,1,3,3,2,0,0
0,0,0,0,3,41,0,0.06666667,0,0,2,1,1,3,3,2,0,0
0,0,0,0,11,292.9,0.028,0.1195238,0,0,2,2,4,3,1,2,0,0
0,0,0,0,1,0,0.2,0.2,0,0,2,1,1,3,3,2,0,0
0,0,0,0,9,1238.333,0,0.04074074,0,0.4,2,2,2,1,3,2,0,0
0,0,0,0,10,225.4667,0,0.05,0,0.4,2,1,1,8,3,2,0,0
4,462,0,0,51,1873.217,0,0.00754717,0,0.6,2,2,2,9,3,2,0,0
0,0,0,0,3,13,0.1333333,0.1666667,0,0,2,2,4,1,1,2,0,0
0,0,0,0,2,222,0,0.1,0,0,2,2,6,1,2,2,1,0
2,20,0,0,16,214.8333,0,0.02222222,0,0,2,2,2,1,6,2,0,0
0,-1,0,-1,1,-1,0.2,0.2,0,0,2,3,2,3,3,2,0,0
0,0,0,0,6,2017.167,0,0.01111111,0,0.8,2,2,2,4,3,2,0,0
6,111.5,0,0,26,449.0278,0,0.01851852,0,0.6,2,1,1,3,3,2,0,0
0,0,0,0,6,158.1667,0,0.03333333,0,0,2,3,2,4,2,2,0,0
0,0,0,0,9,303.6667,0.005555556,0.0462963,0,0,2,2,4,5,2,2,0,0
0,0,0,0,3,25,0,0.06666667,0,0,2,2,4,1,5,2,0,0
0,0,0,0,2,42,0.05,0.15,0,0.4,2,2,2,1,4,2,0,0
4,103.625,0,0,14,1003.417,0,0.01803922,0,0.2,2,1,1,3,3,2,0,0
0,-1,0,-1,1,-1,0.2,0.2,0,0,2,2,2,7,3,2,0,0
0,0,0,0,9,272.5,0,0.01185185,0,0.2,2,1,1,6,3,2,0,0
3,19,0,0,8,344,0,0.007407407,0,0,2,2,4,2,3,2,0,0
0,0,0,0,1,0,0.2,0.2,0,0,2,2,2,2,3,2,0,0
0,0,1,19,10,852,0,0.009090909,0,0,2,2,2,3,6,2,0,0
0,0,0,0,3,780,0.06666667,0.06666667,0,0.4,2,2,4,1,3,2,0,0
0,0,0,0,3,1038,0,0.03333333,0,0,2,2,2,1,1,2,0,0
0,0,0,0,4,573,0,0.05,0,0,2,2,2,3,3,2,0,0
0,0,0,0,28,1231.233,0.007142857,0.03035714,0,0,2,1,1,4,3,2,0,0
0,0,0,0,11,316.6667,0,0.02727273,0,0.8,2,2,2,2,1,2,0,0
0,0,0,0,20,873.7365,0.0075,0.02816667,0,0,2,1,2,1,1,2,0,0
0,0,0,0,1,0,0.2,0.2,0,0.4,2,2,2,3,4,2,0,0
0,0,0,0,4,16,0.1,0.15,0,0,2,2,5,5,1,2,0,0
0,0,0,0,19,615,0,0.02631579,0,0.2,2,2,2,3,3,2,0,0
0,0,0,0,9,261.75,0,0.02666667,0,0,2,2,6,1,1,2,0,0
0,0,0,0,21,615.8831,0.03333333,0.04993081,0,0,2,3,2,2,1,2,1,0
0,0,0,0,1,0,0.2,0.2,0,0,2,3,3,3,2,2,1,0
0,0,0,0,6,117.5,0,0.03333333,0,0.8,2,1,1,1,3,2,1,0
0,0,0,0,1,0,0.2,0.2,0,0,2,1,1,1,3,2,0,0
0,0,0,0,1,0,0.2,0.2,0,0,2,3,2,3,3,2,0,0
0,0,0,0,23,501.6667,0.008695652,0.01884058,0,0.6,2,1,1,4,2,2,0,0
2,58,2,22,31,829.1667,0.03030303,0.04060606,0,0,2,1,1,1,1,2,1,0
1,9.5,0,0,23,1223,0.01521739,0.01246377,0,0,2,1,1,1,2,2,1,0
0,0,0,0,6,467,0,0.01666667,0,0.4,2,1,1,3,3,2,0,0
0,0,0,0,23,737.1667,0.008695652,0.0115942,0,0.6,2,2,2,1,3,2,0,0
0,0,0,0,12,129,0,0.03333333,0,0,2,1,1,3,2,2,0,0
0,0,0,0,5,63,0,0.04,0,0,2,2,2,1,3,2,0,0
0,0,0,0,5,125,0.08666667,0.1666667,0,0,2,2,2,1,3,2,0,0
0,0,0,0,11,684.3333,0.01818182,0.06363636,0,0,2,2,4,6,1,2,0,0
0,0,0,0,20,665.4722,0,0.0145,0,0.8,2,3,2,7,4,2,1,0
1,0,0,0,15,487.5,0,0.01916667,0,0.8,2,1,1,2,4,2,1,0
0,0,0,0,17,437.1667,0.01111111,0.03333333,0,0,2,2,4,1,3,2,0,0
0,0,0,0,3,55,0.06666667,0.1,0,0.6,2,1,1,1,3,2,0,0
0,0,0,0,1,0,0.2,0.2,0,0.8,2,1,1,1,2,2,1,0
5,41.3,0,0,24,446.9278,0,0.008602151,0,1,2,2,2,8,1,2,1,0
3,87,0,0,10,320.5,0,0.01538462,0,0,2,1,1,2,3,2,0,0
0,0,0,0,7,666,0,0.01428571,0,0,2,1,1,6,2,2,0,0
1,0,0,0,21,405.7095,0.0107438,0.04700264,0,0,2,1,1,1,4,2,0,0
0,0,0,0,1,0,0.2,0.2,0,0,2,3,2,3,3,2,0,0
0,0,0,0,6,163.25,0.03333333,0.03333333,0,0.6,2,1,1,6,2,2,0,0
0,0,0,0,17,284.25,0,0.01176471,0,0,2,3,2,6,2,2,1,0
0,-1,0,-1,1,-1,0.2,0.2,0,0.6,2,4,2,1,3,2,0,0
0,-1,0,-1,1,-1,0.2,0.2,0,0,2,2,4,1,1,2,0,0
0,0,0,0,8,260,0.008333333,0.025,0,0.8,2,3,2,1,3,2,1,0
0,0,16,1210.398,5,279.8571,0.003174603,0.0127642,0,0,3,2,2,1,8,2,0,0
0,0,0,0,20,927.45,0.01111111,0.02724868,8.000741,0,3,1,1,3,1,2,0,0
2,9,0,0,50,836.8,0,0.006339869,0,0,3,2,2,3,2,2,0,0
10,293.7782,2,153,96,3283.167,0.001960784,0.01350941,0,0,3,3,2,6,2,2,1,0
9,111.5,1,48.5,49,1868.82,0,0.02070887,1.706015,0,3,2,2,7,2,2,0,1
3,47,1,51,68,3008.124,0.007142857,0.01672789,46.53018,0,3,2,2,1,1,2,0,0
0,0,0,0,2,0,0.2,0.2,0,0,3,1,1,1,3,2,0,0
3,1226,5,3,24,3230.25,0.03619048,0.096,0,0,3,2,2,1,2,2,0,0
3,52,0,0,9,319,0,0.02,0,0,3,1,1,1,1,2,0,0
0,0,0,0,3,42,0,0.06666667,0,0,3,2,2,3,1,2,0,0
0,0,0,0,22,354.3333,0.009090909,0.05766234,0,0,3,1,1,7,2,2,1,0
0,0,0,0,98,3556.612,0.002061856,0.01017346,0,0,3,1,1,1,3,2,0,0
2,56,1,144,67,2563.783,0,0.005797101,19.34265,0,3,2,2,4,2,0,0,1
3,112.9608,0,0,13,3014.019,0.01306818,0.06140625,0,0,3,2,2,1,2,2,0,0
0,0,0,0,17,840.2333,0,0.001666667,109.176,0,3,2,2,9,2,0,0,1
3,94,2,125,55,1970.845,0,0.001724138,96.25512,0,3,2,4,1,2,0,1,1
1,32,0,0,50,2867,0,0.004,153.4432,0,3,2,2,7,8,2,1,1
0,0,0,0,5,43,0,0.04,0,0,3,1,1,1,9,2,1,0
5,218,0,0,13,284.5,0,0.004166667,0,0,3,1,1,1,2,0,0,0
0,0,0,0,3,133.5,0,0.08888889,0,0,3,1,2,1,8,2,0,0
1,119,0,0,12,297.6667,0,0.008333333,0,0,3,3,2,1,10,2,0,0
3,281,0,0,16,453.75,0,0.005263158,0,0,3,2,2,5,2,0,0,0
1,18,0,0,16,1331.75,0,0.0125,33.79957,0,3,2,5,2,3,0,0,1
2,40,0,0,5,558.5,0,0.02857143,0,0,3,2,2,7,2,0,1,0
3,107,0,0,4,145.8333,0,0.01666667,0,0,3,3,2,7,1,0,0,0
0,0,0,0,8,731,0,0.04375,0,0,3,2,4,1,3,2,0,0
2,49,1,127,4,188,0.03333333,0.0375,0,0,3,3,2,3,2,2,0,0
0,0,0,0,14,565.3333,0.03761905,0.04952381,0,0,3,2,6,3,1,2,0,0
0,0,0,0,2,50,0,0.05,0,0,3,3,2,8,11,2,0,0
4,57,0,0,7,591,0.006666667,0.03333333,0,0,3,1,2,6,6,2,1,0
2,2,3,261,10,281,0,0.04285714,0,0,3,2,2,1,2,2,0,0
2,123,2,306.3333,18,483.8333,0,0.02,0,0,3,2,2,4,1,2,0,0
2,118,0,0,4,42,0,0.06666667,0,0,3,1,2,7,3,2,0,0
0,0,0,0,35,1192.386,0.005714286,0.02857143,0,0,3,2,4,2,2,2,0,0
0,0,0,0,12,198,0.01666667,0.075,0,0,3,2,2,3,2,2,0,0
0,0,0,0,3,15,0,0.06666667,0,0,3,2,4,3,12,2,0,0
2,38,0,0,14,643,0,0.01333333,35.0928,0,3,2,2,5,1,2,0,1
0,0,0,0,5,23,0.08,0.12,0,0,3,2,2,1,1,2,0,0
0,0,0,0,4,14,0.1,0.15,0,0,3,3,2,1,1,2,0,0
1,54,0,0,6,210.5,0,0.02,0,0,3,2,2,1,8,0,0,0
1,993,0,0,28,1529.305,0.001481481,0.009150327,0,0,3,3,2,4,2,2,0,0
0,0,0,0,2,19,0,0.1,0,0,3,2,2,3,11,2,1,0
5,74.25,2,84,37,1599.083,0,0.006578947,0,0,3,2,2,4,1,2,0,0
0,0,0,0,9,102.5,0,0.02222222,0,0,3,2,2,1,3,2,0,0
0,0,0,0,16,2337,0,0.01333333,17.76267,0,3,2,2,1,1,2,0,1
0,0,0,0,19,1883.5,0.01052632,0.02105263,0,0,3,2,2,1,3,2,0,0
2,32,0,0,50,1245.3,0.004,0.02066667,7.146261,0,3,2,2,7,9,2,1,0
6,666.8333,0,0,22,1674.583,0,0.01466667,0,0,3,2,2,3,2,2,0,0
0,0,0,0,9,132,0.01111111,0.03333333,0,0,3,4,1,1,3,2,1,0
1,73,1,740,50,1434.255,0,0.01923077,22.03277,0,3,2,2,3,2,2,1,0
2,154,0,0,18,367.25,0.005263158,0.04421053,0,0,3,3,2,2,1,2,1,0
3,49.33333,5,303.25,7,148.5,0,0.01408163,0,0,3,3,2,2,2,2,0,0
3,118.5,0,0,29,1482.211,0.006896552,0.01060025,0,0,3,3,2,1,8,2,1,0
6,153.5,0,0,34,1048.492,0.01157895,0.03222568,0,0,3,2,6,1,1,2,1,0
0,0,0,0,9,478,0,0.01111111,0,0,3,3,2,2,3,2,1,0
0,0,0,0,16,980.25,0,0.04,0,0,3,2,2,4,3,2,0,0
8,72.25,1,21.5,51,1124.693,0.02280702,0.03655009,0,0,3,2,2,2,2,2,0,0
2,24.5,0,0,22,353.1667,0.01818182,0.03181818,0,0,3,2,5,1,3,2,0,0
1,0,0,0,18,1489.083,0.02352941,0.04647059,0,0,3,2,2,8,1,2,0,0
0,0,1,1220,28,2389.333,0.01666667,0.03083333,0,0,3,2,2,1,3,2,1,0
0,0,0,0,7,753,0,0.00952381,0,0,3,2,10,1,2,2,0,0
0,0,0,0,31,688.1667,0,0.01935484,0,0,3,4,1,1,3,2,0,0
0,0,0,0,14,811,0.01538462,0.04102564,0,0,3,2,2,8,1,2,0,0
1,22,0,0,9,415.25,0.03333333,0.04814815,0,0,3,3,3,1,1,2,0,0
16,155.6313,0,0,32,908.0135,0.005,0.01805276,4.368516,0,3,2,2,3,2,2,0,1
1,21.33333,1,235,71,2753.379,0.01267606,0.01520121,0,0,3,3,2,2,1,2,1,0
2,191,1,100,46,2452.582,0.007246377,0.02225391,0,0,3,3,2,9,3,2,1,0
0,0,0,0,18,5188.5,0,0.05,0,0,3,2,5,1,1,2,0,0
0,-1,0,-1,1,-1,0.2,0.2,0,0,3,1,1,1,1,2,0,0
0,0,0,0,5,57,0.08,0.12,0,0,3,2,5,2,1,2,0,0
0,0,0,0,2,8,0,0.1,0,0,3,2,2,5,1,2,1,0
4,96.5,0,0,19,1430.659,0.01,0.02566667,0,0,3,1,1,1,1,2,0,0
1,13,0,0,2,20,0,0.05,0,0,3,3,2,3,2,2,0,0
5,1388.75,0,0,4,1373.75,0,0.02,0,0,3,1,1,7,8,2,0,0
0,0,0,0,45,844.25,0,0.01037037,0,0,3,1,1,3,1,2,0,0
0,0,1,0,7,188,0,0.03333333,0,0,3,2,2,1,8,0,0,0
3,51,0,0,14,527.375,0.01555556,0.03386243,0,0,3,7,1,6,1,2,1,0
0,0,0,0,1,0,0.2,0.2,0,0,3,3,3,5,2,2,0,0
1,158,1,64,29,1916.762,0.006451613,0.01870968,8.772473,0,3,2,2,3,2,2,1,1
0,0,0,0,9,116.3333,0,0.06666667,0,0,3,2,2,1,1,2,0,0
0,0,0,0,30,397,0,0.02,0,0,3,2,2,7,2,2,0,0
0,0,0,0,63,5220.083,0,0.003329865,51.46331,0,3,2,5,3,1,2,1,1
0,0,0,0,20,219.3333,0,0.01166667,0,0,3,1,8,7,2,2,0,0
0,0,0,0,5,74,0,0.04,0,0,3,2,2,1,10,2,0,0
0,0,0,0,15,1559.6,0,0.03384615,0,0,3,2,4,1,1,2,0,0
0,0,0,0,6,236.5,0,0.01666667,0,0,3,1,1,1,3,2,1,0
1,10,0,0,14,348.6667,0.03571429,0.05357143,0,0,3,3,2,1,1,2,1,0
0,0,0,0,1,0,0.2,0.2,0,0,3,2,5,1,1,2,0,0
1,28,1,47,13,224.5,0,0.01428571,0,0,3,1,1,1,8,0,0,0
4,27,0,0,42,601.7667,0,0.004545455,0,0,3,2,5,3,3,2,0,0
0,0,0,0,5,75.5,0.02,0.01333333,0,0,3,1,1,2,9,2,1,0
0,0,0,0,2,153,0,0.05,0,0,3,2,5,6,1,2,0,0
4,15,0,0,10,197.2,0,0.01666667,38.99,0,3,1,1,1,3,2,1,1
0,0,0,0,18,3658.5,0.01666667,0.05,0,0,3,4,2,9,1,2,0,0
0,0,0,0,5,1162.5,0,0.025,0,0,3,2,2,2,2,2,0,0
0,0,0,0,32,556.6,0.01458333,0.03958333,0,0,3,2,2,3,1,2,0,0
0,0,0,0,3,41,0,0.03333333,0,0,3,2,2,1,3,2,1,0
0,0,0,0,11,300.0714,0,0.02,53.9892,0,3,2,2,1,11,2,1,1
13,1249.81,4,205,36,1626.625,0.0106383,0.02618625,6.831792,0,3,3,2,2,3,2,0,0
0,0,0,0,6,69.25,0,0.04444444,0,0,3,2,2,4,3,2,0,0
2,390,0,0,10,1169.1,0.02,0.05,0,0,3,3,9,9,2,2,0,0
0,0,0,0,8,402,0,0.03809524,0,0,3,2,2,2,1,2,0,0
0,0,0,0,1,0,0.2,0.2,0,0,3,2,2,1,1,2,0,0
0,0,0,0,35,3324.333,0.01142857,0.02476191,0,0,3,2,2,1,1,2,0,0
11,215.5238,1,70,87,3037.5,0.002150538,0.007722385,0,0,3,2,2,5,1,2,0,0
0,0,0,0,4,59,0,0.05,0,0,3,1,1,1,10,2,0,0
1,11,0,0,51,1059.253,0.01058823,0.02264304,0,0,3,3,2,6,3,2,0,0
2,20,0,0,7,720,0,0.01111111,0,0,3,2,2,3,6,2,0,0
0,0,0,0,40,905.4856,0.0135,0.03747619,0,0,3,3,2,2,1,2,0,0
0,0,0,0,1,0,0.2,0.2,0,0,3,1,1,1,1,2,1,0
2,8,1,14.33333,14,603.6667,0,0.0125,44.67925,0,3,2,2,1,7,2,0,1
0,0,0,0,13,328.9167,0,0.01428571,59.79014,0,3,3,2,1,3,2,0,1
0,0,0,0,33,778.8167,0,0.02242424,0,0,3,2,5,1,1,2,0,0
4,171.25,0,0,22,851.5595,0.004545455,0.03190731,0,0,3,3,2,1,1,2,0,0
0,0,0,0,1,0,0.2,0.2,0,0,3,1,1,8,1,2,0,0
0,0,0,0,3,227.5,0,0.02222222,0,0,3,2,2,1,3,2,0,0
5,227.3333,0,0,17,528.9,0,0.002272727,0,0,3,1,1,1,9,2,1,0
0,0,0,0,15,872.8333,0,0.02666667,0,0,3,2,2,2,3,2,1,0
0,0,0,0,2,0,0.2,0.2,0,0,3,3,2,3,1,2,0,0
0,0,0,0,35,835.0667,0.01257143,0.0447619,0,0,3,2,2,6,1,2,0,0
0,0,0,0,4,82.5,0,0.05,0,0,3,3,2,1,3,2,0,0
0,0,1,0,1,13,0,0.1,0,0,3,3,2,3,1,2,0,0
0,0,0,0,2,9,0,0.1,0,0,3,2,2,1,3,2,1,0
0,0,0,0,2,7,0,0.1,0,0,3,2,2,1,1,2,0,0
0,0,0,0,12,94.5,0.03333333,0.02555556,0,0,3,3,2,4,11,2,0,0
5,86,0,0,23,267.3,0,0.016,0,0,3,1,1,4,9,2,1,0
0,0,0,0,29,3312.5,0.0137931,0.02896552,0,0,3,2,2,1,13,2,0,0
0,0,0,0,3,75,0,0.06666667,0,0,3,2,5,1,3,2,1,0
2,7,0,0,10,75,0.05,0.11,0,0,3,2,2,1,1,2,0,0
0,0,1,24,27,1547.5,0.003703704,0.01481482,0,0,3,3,2,1,1,2,0,0
7,186.9762,2,40,35,1276.157,0,0.008681765,0,0,3,1,1,6,2,2,0,0
3,138,2,136,54,2631.1,0,0.00969697,0,0,3,1,2,1,2,2,0,0
0,0,0,0,2,96,0,0.1,0,0,3,4,1,1,1,2,0,0
2,374,0,0,3,1370,0,0.025,0,0,3,2,2,1,8,2,0,0
