MarriedID,MaritalStatusID,GenderID,EmpStatusID,DeptID,PerfScoreID,FromDiversityJobFairID,PayRate,Termd,PositionID,Position,State,Zip,DOB,Sex,MaritalDesc,CitizenDesc,HispanicLatino,RaceDesc,DateofHire,TermReason,EmploymentStatus,Department,ManagerName,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount
0,0,0,1,3,3,0,31.4,0,9,6,10,81,1979-02-24,1,3,2,0,5,2015-03-30,3,0,2,19,4,1,5,3,5
0,0,0,1,5,4,0,60,0,10,9,10,43,1983-03-19,1,3,2,0,2,2009-01-05,3,0,3,10,14,0,3.02,5,0
1,1,0,1,6,3,0,60,0,11,10,21,124,1966-03-17,1,1,2,0,5,2014-05-05,3,0,4,10,9,1,1.22,4,0
0,0,1,1,3,4,0,65,0,12,12,10,4,1980-07-05,0,3,2,0,2,2011-04-15,3,0,2,11,17,0,3.76,5,5
0,0,1,1,3,3,0,62,0,13,13,10,117,1973-04-05,0,3,2,0,5,2013-01-20,3,0,2,11,17,1,2.96,5,7
0,2,1,5,3,3,1,21,1,13,13,10,37,1964-01-04,0,0,2,0,4,2012-01-09,7,4,2,11,3,1,2.51,4,6
1,1,1,1,3,2,1,63,0,13,14,10,74,1986-10-05,0,1,0,1,3,2012-02-15,3,0,2,11,3,2,2.39,3,6
0,0,1,1,3,4,0,64,0,13,15,10,31,1970-07-09,0,3,2,0,5,2014-01-05,3,0,2,11,17,0,1.99,5,5
0,0,1,1,3,3,0,28.99,0,14,16,10,87,1985-09-05,0,3,2,0,5,2012-09-05,3,0,2,9,5,1,2.55,3,6
0,0,0,1,3,3,0,31.4,0,14,16,4,130,1968-07-06,1,3,2,0,5,2010-05-01,3,0,2,9,20,1,1.21,4,5
0,0,0,1,3,4,1,26,0,14,16,4,132,1988-10-05,1,3,2,1,4,2011-01-21,3,0,2,9,3,0,4.64,4,5
1,1,0,1,3,3,0,27.49,0,14,16,10,104,1973-03-12,1,1,2,0,2,2011-06-10,3,0,2,9,7,1,4.3,3,5
0,2,1,1,3,3,0,45,0,14,16,10,31,1988-01-07,0,0,2,0,5,2015-01-05,3,0,2,18,5,1,1.84,5,6
1,1,1,1,3,3,0,42,0,14,16,10,75,1989-11-24,0,1,2,1,5,2015-03-30,3,0,2,18,7,1,2.21,5,7
1,1,0,1,3,3,0,37,0,14,16,10,62,1988-07-18,1,1,2,0,5,2015-01-05,3,0,2,18,4,1,4.11,4,6
0,3,0,1,3,3,0,39,0,14,16,10,114,1981-04-16,1,2,2,1,5,2015-01-05,3,0,2,18,4,1,4.61,4,5
0,0,1,1,3,1,0,43,0,15,17,10,77,1987-06-18,0,3,2,0,5,2015-03-30,3,0,2,18,20,3,1.2,3,6
1,1,0,1,3,3,0,27,0,15,17,10,48,1979-04-04,1,1,2,0,5,2015-02-16,3,0,2,18,10,1,3.81,3,6
1,1,0,1,3,3,0,47,0,15,17,10,16,1981-04-14,1,1,2,0,5,2014-09-30,3,0,2,18,20,1,3.31,3,6
1,1,1,5,3,3,0,28,1,15,17,10,2,1988-05-05,0,1,2,0,5,2015-01-05,9,4,2,18,10,1,5,3,5
1,1,1,1,3,3,0,49.1,0,15,17,10,100,1969-03-31,0,1,0,0,5,2015-03-30,3,0,2,18,4,1,5,4,7
1,1,0,1,2,3,0,80,0,16,18,10,35,1954-09-21,1,1,2,1,5,2012-07-02,3,0,1,2,16,1,4.83,3,0
0,2,1,1,5,3,0,54.5,0,17,20,10,86,1968-10-10,0,0,2,0,5,2011-08-01,3,0,3,10,4,1,3.93,3,0
0,0,1,5,5,3,0,50.5,1,18,20,10,34,1970-03-10,0,3,2,0,1,2013-09-30,15,4,3,10,0,1,3.39,3,0
0,0,1,1,5,4,0,55,0,18,20,10,86,1983-08-09,0,3,2,0,5,2016-01-28,3,0,3,10,16,0,5,3,0
0,0,0,1,5,3,0,51,0,18,20,10,10,1973-11-28,1,3,2,0,5,2014-09-18,3,0,3,10,18,1,4.52,4,0
0,2,1,1,5,3,0,54,0,18,20,10,13,1981-07-11,0,0,2,0,5,2015-06-02,3,0,3,10,4,1,4.63,3,0
1,1,1,4,5,3,0,48.5,1,18,20,10,33,1972-07-01,0,1,2,0,5,2011-01-10,4,3,3,10,4,1,4.78,4,0
1,1,1,5,5,2,0,42,1,18,20,10,69,1976-11-15,0,1,2,0,1,2011-02-21,17,4,3,10,14,2,2.34,2,0
1,1,0,1,5,4,0,55,0,18,20,10,61,1981-10-26,1,1,2,0,5,2013-09-30,3,0,3,10,21,0,3.66,3,0
0,0,1,1,5,3,0,53,0,18,20,10,47,1981-08-10,0,3,2,3,3,2012-08-16,3,0,3,10,8,1,4.37,3,0
1,1,0,5,5,3,0,38.5,1,18,20,10,43,1977-05-09,1,1,2,0,5,2010-10-25,1,4,3,10,8,1,4.16,5,0
1,1,0,1,5,3,0,52,0,18,20,10,108,1975-09-30,1,1,2,0,5,2012-10-02,3,0,3,10,20,1,4.83,5,0
0,2,1,1,5,2,0,53,0,18,20,10,21,1975-12-17,0,0,2,0,5,2010-07-20,3,0,3,10,10,2,4.13,2,0
1,1,0,1,5,3,0,55,0,18,20,10,18,1978-03-28,1,1,2,0,2,2009-01-08,3,0,3,10,0,1,3.73,4,0
1,1,0,5,5,3,1,33.5,1,18,20,10,116,1955-11-14,1,1,2,0,2,2011-09-26,1,4,3,10,3,1,1.18,3,0
0,0,0,1,5,4,0,23,0,19,21,10,25,1977-05-22,1,3,2,0,5,2012-01-09,3,0,3,1,9,0,5,5,0
0,0,1,1,5,3,0,16,0,19,21,10,55,1970-12-22,0,3,2,1,5,2012-04-02,3,0,3,1,22,1,5,3,0
0,0,0,5,5,3,0,21,1,19,21,10,17,1983-08-27,1,3,2,0,5,2011-06-27,14,4,3,1,14,1,2,4,0
1,1,1,1,5,1,0,20,0,19,21,10,51,1967-04-19,0,1,2,0,5,2014-07-07,3,0,3,1,17,3,1.12,2,0
1,1,1,1,5,1,0,18,0,19,21,10,72,1989-10-18,0,1,2,0,5,2015-05-11,3,0,3,1,17,3,1.56,5,0
0,0,0,1,5,4,0,16,0,19,21,10,108,1980-05-08,1,3,2,1,4,2014-09-29,3,0,3,1,17,0,3.39,4,0
1,1,0,1,5,4,0,20,0,19,21,10,31,1974-05-02,1,1,2,0,5,2014-05-12,3,0,3,1,10,0,4.76,4,0
1,1,0,5,5,3,0,24,1,19,21,10,68,1970-10-08,1,1,2,0,5,2011-09-26,11,4,3,1,18,1,3.49,4,0
0,4,1,5,5,3,0,15,1,19,21,10,38,1972-11-09,0,4,2,0,5,2012-09-24,7,4,3,1,15,1,3.08,4,0
1,1,1,5,5,3,0,22,1,19,21,10,105,1983-03-28,0,1,2,0,5,2013-04-01,11,4,3,1,4,1,3.18,3,0
0,0,0,5,5,3,0,22,1,19,21,10,89,1986-07-20,1,3,2,0,5,2011-05-16,9,4,3,1,9,1,3.45,4,0
1,1,1,5,5,3,0,24,1,19,21,10,2,1974-01-07,0,1,2,0,2,2011-01-10,4,4,3,1,5,1,5,3,0
1,1,0,1,5,3,0,15,0,19,21,10,82,1985-08-24,1,1,2,0,5,2013-08-19,3,0,3,1,11,1,4.81,4,0
0,0,0,5,5,3,0,20,1,19,21,10,53,1965-05-09,1,3,2,0,5,2011-07-05,16,4,3,1,0,1,3.98,4,0
1,1,1,5,5,3,0,21,1,19,21,10,98,1965-09-09,0,1,0,0,5,2011-05-16,17,4,3,1,21,1,5,3,0
0,0,0,3,5,3,1,22,0,19,21,10,35,1970-02-11,1,3,2,0,4,2009-07-06,3,2,3,4,3,1,4.46,3,0
1,1,0,1,5,4,0,16,0,19,21,10,44,1989-09-01,1,1,2,0,5,2014-07-07,3,0,3,4,17,0,5,3,0
1,1,1,2,5,4,0,24.75,0,19,21,10,74,1980-08-26,0,1,2,0,5,2016-07-06,2,1,3,4,4,0,1.97,4,0
1,1,0,1,5,2,0,22,0,19,21,10,102,1978-12-02,1,1,2,0,2,2013-01-07,3,0,3,4,16,2,3.88,4,0
1,1,0,1,5,3,0,24,0,19,21,10,85,1981-03-16,1,1,2,0,5,2012-01-09,3,0,3,4,19,1,5,5,0
0,2,1,1,5,4,1,16,0,19,21,10,59,1969-09-29,0,0,2,0,0,2011-07-11,3,0,3,4,3,0,1.83,4,0
0,0,0,1,5,3,0,16,0,19,21,10,17,1991-01-28,1,3,2,0,5,2013-08-19,3,0,3,4,17,1,3.99,3,0
1,1,1,1,5,3,0,21,0,19,21,10,20,1980-02-02,0,1,2,0,1,2011-01-10,3,0,3,4,16,1,3.38,3,0
1,1,0,1,5,3,0,23,0,19,21,10,108,1974-11-07,1,1,2,0,5,2013-11-11,3,0,3,4,12,1,1.04,3,0
0,3,0,1,5,4,1,15,0,19,21,10,22,1967-06-03,1,2,2,0,1,2013-04-01,3,0,3,4,3,0,1.12,3,0
1,1,1,5,5,3,0,18,1,19,21,10,108,1988-03-06,0,1,2,0,5,2011-07-05,11,4,3,4,18,1,5,3,0
0,4,1,1,5,4,0,17,0,19,21,10,9,1985-01-28,0,4,2,0,5,2013-07-08,3,0,3,4,4,0,3.02,5,0
1,1,0,1,5,1,0,16,0,19,21,10,58,1968-07-20,1,1,2,0,5,2012-02-20,3,0,3,4,0,3,4.11,2,0
0,2,0,1,5,3,0,24,0,19,21,10,58,1967-06-05,1,0,2,0,2,2013-02-18,3,0,3,4,0,1,4.21,5,0
0,0,0,5,5,1,0,22,1,19,21,10,111,1982-05-04,1,3,2,0,1,2008-09-02,1,4,3,4,18,3,4.29,2,0
1,1,0,5,5,3,1,17,1,19,21,10,35,1974-01-12,1,1,2,1,3,2011-01-10,1,4,3,6,3,1,1.79,4,0
1,1,0,5,5,3,0,20,1,19,21,10,7,1990-08-24,1,1,2,0,5,2012-04-02,1,4,3,6,18,1,3.35,4,0
0,0,1,1,5,3,0,15,0,19,21,10,109,1977-09-08,0,3,2,0,5,2013-07-08,3,0,3,6,4,1,1.51,5,0
0,0,0,1,5,3,0,16.75,0,19,21,10,66,1986-10-07,1,3,2,1,5,2012-04-02,3,0,3,6,10,1,2.79,5,0
0,0,1,1,5,3,0,19,0,19,21,10,36,1985-09-15,0,3,2,1,5,2015-03-30,3,0,3,6,4,1,4.5,3,0
1,1,1,1,5,3,0,15,0,19,21,10,86,1979-05-21,0,1,2,0,5,2012-07-02,3,0,3,6,9,1,5,3,0
0,0,0,1,5,3,0,20,0,19,21,10,56,1972-09-11,1,3,2,0,5,2012-11-05,3,0,3,6,11,1,2.32,3,0
1,1,1,1,5,3,0,17,0,19,21,10,48,1986-12-09,0,1,2,0,5,2012-07-09,3,0,3,6,11,1,5,5,0
1,1,0,1,5,3,0,20,0,19,21,10,99,1977-11-22,1,1,2,0,5,2011-05-31,3,0,3,6,14,1,5,4,0
0,0,0,1,5,3,0,19,0,19,21,10,72,1984-07-07,1,3,2,0,5,2013-07-08,3,0,3,6,20,1,2.79,5,0
0,0,1,1,5,3,0,17,0,19,21,10,108,1981-11-23,0,3,2,0,2,2007-11-05,3,0,3,6,18,1,3.66,3,0
0,3,0,1,5,3,0,17,0,19,21,10,31,1974-12-05,1,2,2,0,5,2014-01-06,3,0,3,6,21,1,5,4,0
0,2,0,5,5,4,0,21,1,19,21,10,103,1973-03-26,1,0,2,0,5,2013-05-13,17,4,3,6,9,0,1.97,4,0
0,0,0,1,5,2,0,22,0,19,21,10,40,1983-05-16,1,3,2,0,5,2014-02-17,3,0,3,6,17,2,2.44,5,0
0,4,0,1,5,3,0,15,0,19,21,10,9,1978-08-17,1,4,2,0,1,2014-09-29,3,0,3,6,12,1,1.24,5,0
1,1,0,1,5,3,0,21,0,19,21,10,31,1988-09-27,1,1,2,0,5,2008-01-07,3,0,3,8,0,1,4.84,5,0
0,0,0,1,5,3,0,22,0,19,21,10,37,1970-10-27,1,3,0,0,5,2011-04-04,3,0,3,8,18,1,5,5,0
0,0,0,1,5,3,0,19.5,0,19,21,10,87,1979-02-12,1,3,2,0,5,2014-05-12,3,0,3,8,8,1,2.73,4,0
1,1,0,1,5,3,0,15,0,19,21,10,61,1978-11-05,1,1,2,0,5,2012-07-02,3,0,3,8,0,1,5,3,0
0,0,0,4,5,2,0,18,1,19,21,10,111,1989-05-06,1,3,2,0,5,2014-02-17,12,3,3,8,22,2,1.04,3,0
0,2,0,5,5,3,1,22,1,19,21,10,99,1970-05-15,1,0,2,0,5,2011-11-07,7,4,3,8,3,1,4.24,4,0
1,1,1,1,5,3,0,21,0,19,21,10,18,1982-09-02,0,1,2,0,1,2012-05-14,3,0,3,8,18,1,1.83,3,0
1,1,0,5,5,3,0,21,1,19,21,10,107,1986-04-17,1,1,2,0,5,2011-01-10,17,4,3,8,10,1,4,4,0
1,1,0,3,5,3,0,20,0,19,21,10,64,1975-10-22,1,1,2,0,2,2015-02-16,3,2,3,8,21,1,5,3,0
0,2,0,1,5,3,0,15,0,19,21,10,110,1984-07-07,1,0,2,0,5,2013-04-01,3,0,3,8,9,1,1.76,4,0
1,1,0,5,5,3,0,18,1,19,21,10,102,1979-05-01,1,1,2,0,5,2011-02-07,1,4,3,8,19,1,3.89,4,0
0,2,1,5,5,3,0,20,1,19,21,10,89,1982-07-22,0,0,2,1,5,2011-05-16,15,4,3,8,17,1,5,4,0
1,1,0,1,5,3,0,21,0,19,21,10,84,1988-07-10,1,1,2,0,2,2014-09-29,3,0,3,8,12,1,3.51,3,0
0,0,0,1,5,3,0,14,0,19,21,10,121,1968-08-15,1,3,0,0,1,2012-05-14,3,0,3,8,5,1,2.77,5,0
0,0,0,5,5,2,0,15,1,19,21,10,32,1980-08-02,1,3,2,0,5,2012-08-13,5,4,3,8,10,2,1.27,3,0
0,0,1,1,5,3,0,16.76,0,19,21,10,22,1983-07-20,0,3,2,0,4,2012-02-20,3,0,3,13,19,1,1.41,4,0
0,0,1,1,5,3,0,20,0,19,21,10,7,1983-02-02,0,3,2,0,2,2014-03-31,3,0,3,13,9,1,4.43,3,0
1,1,0,1,5,3,0,15.75,0,19,21,10,92,1977-03-31,1,1,2,1,5,2015-01-05,3,0,3,13,0,1,4.73,5,0
0,0,1,1,5,3,0,21.25,0,19,21,10,41,1974-05-31,0,3,2,0,5,2014-11-10,3,0,3,13,9,1,1.86,5,0
1,1,1,1,5,3,0,21,0,19,21,10,47,1978-08-25,0,1,2,0,5,2014-03-31,3,0,3,13,4,1,2.05,3,0
0,0,0,1,5,3,0,24,0,19,21,10,63,1983-12-02,1,3,2,1,2,2011-05-16,3,0,3,13,9,1,1.66,4,0
0,2,0,5,5,3,0,14,1,19,21,10,89,1983-05-21,1,0,2,0,5,2011-02-21,11,4,3,13,10,1,5,5,0
0,3,0,1,5,3,0,19,0,19,21,10,60,1964-04-13,1,2,2,0,5,2014-01-06,3,0,3,13,12,1,5,5,0
0,0,1,4,5,3,0,15,1,19,21,10,49,1981-10-18,0,3,2,0,5,2011-02-21,4,3,3,13,19,1,5,4,0
0,0,0,5,5,3,1,14,1,19,21,10,14,1968-05-30,1,3,2,0,2,2012-04-02,1,4,3,13,3,1,4.18,4,0
1,1,1,1,5,4,0,16,0,19,21,10,116,1976-12-11,0,1,2,0,5,2013-09-30,3,0,3,13,12,0,2.86,3,0
0,0,1,1,5,3,0,16,0,19,21,10,60,1961-06-19,0,3,2,0,5,2014-01-06,3,0,3,13,4,1,2.45,3,0
0,0,0,2,5,2,1,20,0,19,21,10,20,1968-06-06,1,3,2,0,2,2016-07-04,2,1,3,13,3,2,1.12,4,0
1,1,1,1,5,3,0,22,0,19,21,10,96,1985-03-14,0,1,2,0,1,2014-02-17,3,0,3,13,12,1,1.39,3,0
1,1,0,4,5,4,0,21,1,19,21,10,122,1986-06-03,1,1,2,0,5,2011-09-26,6,3,3,13,19,0,2.79,5,0
0,4,1,1,5,3,0,22,0,19,21,10,94,1983-02-18,0,4,2,0,5,2013-09-30,3,0,3,14,4,1,5,4,0
0,2,0,1,5,3,0,22,0,19,21,10,42,1958-12-27,1,0,2,0,1,2013-08-19,3,0,3,14,0,1,2.39,3,0
0,0,0,1,5,3,0,22,0,19,21,10,46,1988-05-31,1,3,1,0,2,2011-10-03,3,0,3,14,16,1,3.58,5,0
0,0,1,1,5,3,0,21,0,19,21,10,90,1982-11-15,0,3,2,0,5,2014-05-12,3,0,3,14,16,1,1.13,4,0
0,0,0,1,5,3,0,23,0,19,21,10,89,1986-06-10,1,3,2,0,5,2012-02-20,3,0,3,14,11,1,1.85,4,0
0,0,0,1,5,3,0,17,0,19,21,10,108,1992-06-18,1,3,2,1,5,2013-11-11,3,0,3,14,5,1,1.94,5,0
0,0,1,1,5,3,0,19,0,19,21,10,82,1984-01-04,0,3,2,0,5,2012-08-13,3,0,3,14,19,1,4.17,4,0
0,0,1,1,5,3,0,14,0,19,21,10,8,1977-11-10,0,3,2,0,2,2014-02-17,3,0,3,14,12,1,2.79,3,0
0,0,0,1,5,3,0,17,0,19,21,10,92,1986-07-07,1,3,2,0,5,2014-01-06,3,0,3,14,11,1,2.55,4,0
1,1,1,3,5,3,0,21,0,19,21,10,76,1977-04-08,0,1,2,0,5,2014-05-12,3,2,3,14,12,1,5,5,0
1,1,0,1,5,3,0,17,0,19,21,10,12,1973-09-23,1,1,2,0,5,2010-04-26,3,0,3,14,18,1,2.72,3,0
1,1,0,4,5,2,0,16,1,19,21,10,4,1985-01-07,1,1,2,0,5,2011-01-10,4,3,3,14,5,2,3.6,3,0
0,0,0,1,5,3,0,24.5,0,19,21,10,71,1965-02-02,1,3,2,0,5,2013-11-11,3,0,3,14,4,1,3.73,3,0
0,2,0,5,5,3,0,20,1,19,21,10,29,1983-07-30,1,0,2,0,5,2011-01-10,1,4,3,14,19,1,2.81,5,0
0,0,0,5,5,3,1,16,1,19,21,10,60,1969-10-02,1,3,2,1,4,2012-01-09,14,4,3,14,3,1,1.44,4,0
1,1,1,5,5,3,1,22,1,19,21,10,52,1974-02-21,0,1,2,1,1,2012-04-02,17,4,3,15,3,1,1.98,3,0
0,3,0,3,5,3,1,20,0,19,21,10,45,1969-10-30,1,2,2,0,2,2013-11-11,3,2,3,15,3,1,2.83,5,0
0,0,1,4,5,2,0,15,1,19,21,10,30,1979-08-12,0,3,2,0,2,2011-07-11,13,3,3,15,9,2,1.42,3,0
1,1,0,5,5,3,0,17,1,19,21,10,100,1991-09-05,1,1,2,0,5,2011-04-04,10,4,3,15,18,1,5,3,0
0,0,1,1,5,3,0,18,0,19,21,10,6,1980-04-18,0,3,2,0,1,2013-07-08,3,0,3,15,17,1,2.61,4,0
1,1,0,3,5,3,0,24,0,19,21,10,28,1974-10-09,1,1,2,0,1,2013-08-19,3,2,3,15,12,1,1.71,5,0
0,2,0,1,5,3,0,21,0,19,21,10,19,1966-03-22,1,0,2,0,5,2013-09-30,3,0,3,15,4,1,2.05,5,0
0,0,0,5,5,3,0,19,1,19,21,10,22,1979-01-17,1,3,2,0,1,2011-09-26,16,4,3,15,10,1,4.88,3,0
1,1,0,1,5,3,0,24,0,19,21,10,91,1987-01-07,1,1,2,0,2,2013-01-07,3,0,3,15,10,1,3.93,3,0
0,0,0,4,5,1,0,18.5,1,19,21,10,83,1980-09-30,1,3,2,0,4,2014-03-31,13,3,3,15,17,3,3.09,2,0
0,2,0,5,5,3,0,19,1,19,21,10,11,1984-10-15,1,0,0,0,1,2011-05-16,1,4,3,15,19,1,3.17,4,0
0,2,0,5,5,3,0,16,1,19,21,10,115,1970-09-22,1,0,2,0,5,2012-09-24,17,4,3,15,0,1,1.5,5,0
0,0,1,5,5,3,0,18,1,19,21,10,85,1987-03-18,0,3,2,0,5,2011-04-04,1,4,3,15,18,1,5,5,0
0,2,0,1,5,3,0,14,0,19,21,10,49,1982-08-25,1,0,2,0,4,2011-01-10,3,0,3,15,22,1,1.05,4,0
0,2,1,5,5,4,0,19,1,19,21,10,88,1987-01-31,0,0,2,0,5,2012-08-13,8,4,3,15,7,0,3.84,5,0
0,0,1,1,5,4,0,20,0,19,21,10,39,1983-07-10,0,3,2,0,5,2011-07-05,3,0,3,17,9,0,2.51,5,0
