Country,Year,Status,Life_expectancy,Adult_Mortality,infant_deaths,Alcohol,percentage_expenditure,Hepatitis_B,Measles,BMI,under_five_deaths,Polio,Total_expenditure,Diphtheria,HIV_AIDS,GDP,Population,thinness__1_19_years,thinness_5_9_years,Income_composition_of_resources,Schooling
1,2013,1,77.2,84,0,4.76,430.877,99,0,56.5,1,99,5.66,99,0.1,4414.723,289592,1.3,1.4,0.759,14.2
1,2012,1,76.9,86,0,5.14,412.4434,99,9,55.8,1,99,5.59,99,0.1,4247.614,2941,1.3,1.4,0.752,14.2
1,2011,1,76.6,88,0,5.37,437.0621,99,28,55.1,1,99,5.71,99,0.1,4437.179,295195,1.4,1.5,0.738,13.3
1,2010,1,76.2,91,1,5.28,41.82276,99,10,54.3,1,99,5.34,99,0.1,494.3588,291321,1.4,1.5,0.725,12.5
1,2009,1,76.1,91,1,5.79,348.056,98,0,53.5,1,98,5.79,98,0.1,4114.137,2927519,1.5,1.6,0.721,12.2
1,2008,1,75.3,1,1,5.61,36.62207,99,0,52.6,1,99,5.87,99,0.1,437.5396,2947314,1.6,1.6,0.713,12
1,2007,1,75.9,9,1,5.58,32.24655,98,22,51.7,1,99,6.1,98,0.1,363.1368,29717,1.6,1.7,0.703,11.6
1,2006,1,74.2,99,1,5.31,3.302154,98,68,5.8,1,97,5.86,97,0.1,35.1293,2992547,1.7,1.8,0.696,11.4
1,2005,1,73.5,15,1,5.16,26.99312,98,6,49.9,1,97,6.12,98,0.1,279.1429,311487,1.8,1.8,0.685,10.8
1,2004,1,73,17,1,4.54,221.8428,99,7,48.9,1,98,6.38,97,0.1,2416.588,326939,1.8,1.9,0.681,10.9
1,2003,1,72.8,18,1,4.29,14.71929,97,8,47.9,1,97,6.27,97,0.1,189.6816,339616,1.9,2,0.674,10.7
1,2002,1,73.3,15,1,3.73,104.5169,96,16,46.9,1,98,6.3,98,0.1,1453.643,3511,2,2.1,0.67,10.7
1,2001,1,73.6,14,1,4.25,96.20557,96,18,46,1,97,6,97,0.1,1326.973,36173,2.1,2.1,0.662,10.6
1,2000,1,72.6,11,1,3.66,91.71154,96,662,45,1,97,6.26,97,0.1,1175.789,38927,2.1,2.2,0.656,10.7
2,2014,1,75.4,11,21,0.01,54.23732,95,0,58.4,24,95,7.21,95,0.1,547.8517,3.911331e+007,6,5.8,0.741,14.4
2,2013,1,75.3,112,21,0.53,544.4507,95,25,57.2,24,95,7.12,95,0.1,5471.867,3.833856e+007,5.9,5.8,0.737,14.4
2,2012,1,75.1,113,21,0.66,555.9261,95,18,56.1,24,95,6.14,95,0.1,5564.826,3.756585e+007,5.9,5.8,0.732,14.4
2,2011,1,74.9,116,21,0.56,509.002,95,112,55,24,95,5.29,95,0.1,5432.252,3.681956e+007,5.9,5.8,0.724,14
2,2010,1,74.7,119,21,0.45,430.7176,95,103,53.9,24,95,5.12,95,0.1,4463.395,3.611764e+007,5.9,5.8,0.714,13.6
2,2009,1,74.4,123,20,0.5,352.0636,94,107,52.8,23,94,5.36,95,0.1,3868.831,3546576,6,5.9,0.705,13.1
2,2008,1,74.1,126,20,0.46,43.08717,91,217,51.8,23,92,4.2,93,0.1,495.2549,3486715,6,5.9,0.697,12.6
2,2007,1,73.8,129,20,0.44,320.3239,9,0,5.8,23,95,3.82,95,0.1,3935.183,34376,6,5.9,0.69,12.3
2,2006,1,73.4,132,20,0.36,270.2402,8,944,49.8,23,95,3.36,95,0.1,3464.618,3.377792e+007,6.1,6,0.686,12.3
2,2005,1,72.9,136,19,0.5,2.548923,83,2302,48.9,22,88,3.24,88,0.1,31.12238,3.328844e+007,6.1,6,0.68,12
2,2004,1,72.3,14,19,0.45,220.3937,81,3289,47.9,23,86,3.54,86,0.1,2598.982,3283196,6.2,6.1,0.673,11.7
3,2014,1,51.7,348,67,8.33,23.96561,64,11699,22.7,101,68,3.31,64,2,479.3122,2692466,8.5,8.3,0.527,11.4
3,2013,1,51.1,355,69,8.1,35.95857,77,8523,22.1,105,67,4.26,77,2.3,484.6169,2599834,8.6,8.5,0.523,11.4
3,2012,1,56,358,72,8.24,256.1225,75,4458,21.5,110,75,3.3,75,2.6,4598.25,259615,8.8,8.6,0.508,10.3
3,2011,1,51,361,75,8.06,239.8914,72,1449,21,115,73,3.38,71,2.5,4299.129,2.421857e+007,8.9,8.8,0.495,9.4
3,2010,1,49.6,365,78,7.8,191.6537,77,1190,2.4,121,81,3.39,77,2.5,3529.535,2.336913e+007,9.1,9,0.488,9
3,2009,1,49.1,369,81,7.01,212.9229,61,2807,19.8,127,63,4.37,6,2.5,3347.845,2.254955e+007,9.3,9.2,0.48,8.5
3,2008,1,48.7,371,84,7.07,249.9102,69,265,19.3,133,65,3.84,69,2.6,3868.579,2175942,9.5,9.4,0.468,8.1
3,2007,1,48.2,375,87,6.35,184.8213,73,1014,18.8,138,75,3.38,73,2.6,2878.837,2997687,9.6,9.6,0.454,7.7
4,2014,1,76.2,118,8,7.93,847.3717,94,1,62.2,9,92,4.79,94,0.1,12245.26,4.298152e+007,1,0.9,0.825,17.3
4,2013,1,76,119,8,8.28,1001.796,94,0,61.6,10,99,4.99,94,0.1,12976.64,4.253993e+007,1,0.9,0.823,17.3
4,2012,1,75.9,12,9,8.35,1133.558,91,2,61,10,99,5.2,91,0.1,12969.77,4296739,1,0.9,0.822,17.2
4,2011,1,75.7,12,9,8.11,1504.329,91,3,6.4,10,93,5.89,91,0.1,12726.98,4.165688e+007,1,0.9,0.816,17.1
4,2010,1,75.5,121,10,8.15,187.611,94,17,59.8,11,95,6.55,94,0.1,1276.265,4.122389e+007,1,0.9,0.802,16.8
4,2009,1,75.6,126,10,8.33,1398.043,94,3,59.2,11,97,7.63,94,0.1,8161.37,479947,1,0.9,0.794,16.5
4,2008,1,75.4,126,10,8.41,1413.735,9,0,58.6,11,94,6.66,93,0.1,8953.359,4382389,1,0.9,0.792,16.3
4,2007,1,74.8,129,10,8.16,1105.659,85,0,58,12,92,6.49,91,0.1,7193.618,3997224,1.1,0.9,0.788,16.3
4,2006,1,75.2,127,11,7.75,961.1775,84,0,57.5,12,92,6.68,91,0.1,5878.761,3955889,1.1,0.9,0.782,16.1
4,2005,1,74.9,127,11,7.53,96.16653,88,0,56.9,12,95,6.85,98,0.1,576.8838,3.914549e+007,1.1,1,0.78,16.3
4,2004,1,74.7,13,11,7.63,719.3664,81,0,56.3,12,91,6.84,98,0.1,4251.574,3.87287e+007,1.1,1,0.775,16.3
4,2003,1,74.1,137,11,7.62,57.58467,73,0,55.7,13,95,8.22,96,0.1,333.4376,3839379,1.2,1,0.77,16.4
4,2002,1,74.1,138,12,7.81,470.1869,66,0,55.1,13,94,8.31,93,0.1,2579.193,3788937,1.2,1,0.776,16.3
5,2014,1,74.6,12,1,3.91,295.6087,93,13,54.1,1,95,4.48,93,0.1,3994.712,29622,2.1,2.1,0.739,12.7
5,2013,1,74.4,123,1,3.79,279.4291,95,10,53.3,1,96,4.55,95,0.1,3843.591,289359,2.1,2.1,0.736,12.7
5,2012,1,74.4,121,1,3.89,274.1527,95,0,52.6,1,96,4.48,95,0.1,3684.848,2881922,2,2.1,0.732,12.7
5,2011,1,73.9,128,1,4.09,260.9964,95,0,51.9,1,96,3.71,95,0.1,3526.978,2875581,2,2.1,0.729,12.7
5,2010,1,73.5,132,1,4.23,224.3212,94,2,51.2,1,96,4.56,94,0.1,3218.382,2877311,2,2.1,0.72,12.3
5,2009,1,73.3,137,1,3.96,201.1855,93,0,5.7,1,94,4.55,93,0.1,2993.833,2888584,2,2.1,0.725,11.9
5,2008,1,73.2,14,1,3.96,2.888898,89,0,5.1,1,91,3.8,89,0.1,41.26997,29822,2,2.1,0.721,12.3
5,2007,1,73.5,132,1,3.99,44.5722,85,1,49.7,1,9,4.31,88,0.1,3138.887,293356,2,2.1,0.707,11.7
5,2006,1,72.9,141,1,4.01,244.5353,78,137,49.2,1,87,4.58,87,0.1,2158.299,29585,2,2.1,0.692,11.2
5,2005,1,73,137,1,4.25,20.21823,91,2281,48.8,1,92,5.25,9,0.1,1643.758,2981259,2,2.1,0.679,10.9
5,2004,1,73,132,1,3.81,97.74088,91,1783,48.4,1,93,5.5,91,0.1,1191.962,3612,2,2.1,0.668,10.9
5,2003,1,72.7,134,1,3.03,7.341493,93,4,48.1,1,96,5.56,94,0.1,93.16616,31786,2,2.1,0.657,10.8
5,2002,1,72.6,134,1,2.86,57.1781,91,40,47.8,1,96,5.4,94,0.1,783.2617,333897,2.1,2.1,0.645,10.8
5,2001,1,72.6,141,1,2.86,53.19373,69,69,47.4,1,97,5.94,94,0.1,694.4351,35655,2.1,2.1,0.644,11.1
5,2000,1,72,142,1,2.9,32.75627,55,15,47.1,1,96,6.25,93,0.1,622.7427,369588,2.1,2.2,0.639,11.2
6,2014,0,82.7,6,1,9.71,10769.36,91,340,66.1,1,92,9.42,92,0.1,62214.69,2346694,0.6,0.6,0.936,20.4
6,2013,0,82.5,61,1,9.87,11734.85,91,158,65.5,1,91,9.36,91,0.1,67792.34,2.311735e+007,0.6,0.6,0.933,20.3
6,2012,0,82.3,61,1,10.03,11715,91,199,65,1,92,9.36,92,0.1,67677.63,2.272825e+007,0.6,0.6,0.93,20.1
6,2011,0,82,63,1,10.3,10986.27,92,190,64.4,1,92,9.2,92,0.1,62245.13,223424,0.6,0.6,0.927,19.8
6,2010,0,81.9,64,1,10.52,8875.786,92,70,63.9,1,92,9.2,92,0.1,51874.85,223175,0.7,0.6,0.927,19.5
6,2009,0,81.7,66,1,10.62,7172.275,94,104,63.4,1,92,9.5,92,0.1,42743,216917,0.7,0.6,0.925,19.1
6,2008,0,81.3,66,1,10.76,8547.292,94,65,62.9,1,92,8.78,92,0.1,49664.69,212492,0.7,0.6,0.921,19.1
6,2007,0,81.3,66,1,10.56,872.5986,94,11,62.5,2,92,8.53,92,0.1,4991.983,28276,0.7,0.6,0.918,19
6,2006,0,81.2,66,1,10.31,6187.062,95,0,62,2,92,8.49,92,0.1,36118.28,26979,0.7,0.6,0.915,20.3
6,2005,0,81,67,1,10.3,579.1332,95,10,61.5,2,92,8.45,92,0.1,3416.715,23948,0.7,0.6,0.91,20.3
6,2004,0,86,69,1,9.84,588.5684,95,70,6.9,1,92,8.57,92,0.1,3472.38,21274,0.7,0.6,0.908,20.7
6,2003,0,83,71,1,9.97,3829.551,95,91,6.3,1,92,8.32,93,0.1,23465.39,198954,0.7,0.7,0.905,20.6
6,2002,0,79.9,73,1,9.84,46.38718,95,32,59.6,2,92,8.39,92,0.1,281.8176,196514,0.7,0.7,0.902,20.1
6,2001,0,79.9,75,1,9.53,3064.301,94,141,59,2,91,8.18,92,0.1,19517.84,19413,0.7,0.7,0.899,20.5
7,2014,0,81.4,66,0,12.32,8350.194,98,117,57.1,0,98,11.21,98,0.1,51322.64,8541575,1.8,2,0.892,15.9
7,2013,0,81.1,68,0,11.82,90.58501,95,0,56.6,0,95,11.14,95,0.1,554.7153,8479375,1.8,2,0.887,15.7
7,2012,0,88,7,0,12.26,7878.372,92,36,56.1,0,92,11.17,92,0.1,48333.57,8429991,1.8,2,0.884,15.7
7,2011,0,88,73,0,12.04,8272.307,89,68,55.7,0,89,1.94,89,0.1,51126.74,8391643,1.7,2,0.88,15.7
7,2010,0,84,75,0,12.1,7423.229,86,52,55.2,0,86,11.17,86,0.1,46657.63,836344,1.7,1.9,0.872,15.4
7,2009,0,82,77,0,11.3,8053.558,83,49,54.7,0,83,11.19,83,0.1,47654.19,8343323,1.7,1.9,0.87,15.3
7,2008,0,84,76,0,12,8329.732,83,448,54.2,0,83,1.6,83,0.1,51386.38,8321496,1.7,1.9,0.864,15.1
7,2007,0,81,8,0,12.5,7453.864,85,20,53.7,0,85,1.4,85,0.1,46586.65,8295487,1.7,1.9,0.86,15.2
7,2006,0,79.8,81,0,12.4,69.92899,83,23,53.2,0,83,1.35,83,0.1,443.9936,8268641,1.7,1.9,0.854,15
7,2005,0,79.4,85,0,12.4,5992.588,86,9,52.7,0,86,1.53,86,0.1,38242.43,8227829,1.7,1.9,0.848,14.9
7,2004,0,79.3,86,0,12.1,5316.877,83,15,52.2,0,83,1.56,83,0.1,36693.43,8171966,1.7,1.9,0.841,14.7
7,2003,0,78.8,88,0,12.2,504.4309,83,90,51.7,0,84,1.48,84,0.1,3212.936,8121423,1.7,1.9,0.837,14.7
7,2002,0,78.7,9,0,12.5,3979.058,81,0,51.2,0,82,1.27,83,0.1,26351.38,881957,1.7,1.9,0.847,16.1
7,2001,0,78.6,92,0,12.4,3582.848,44,0,5.6,0,83,1.12,84,0.1,24489.74,842293,1.7,1.9,0.837,15.5
7,2000,0,78.1,96,0,13.2,3557.456,33,0,5.1,0,71,1.6,81,0.1,24517.27,811566,1.7,1.9,0.833,15.4
8,2014,1,72.5,119,5,0.01,306.1824,94,0,51.5,6,97,6.4,94,0.1,7891.3,953579,2.8,2.9,0.752,12.2
8,2013,1,72.2,121,5,2.14,275.6515,93,164,5.6,6,96,5.54,93,0.1,7875.757,941681,2.8,2.8,0.745,11.9
8,2012,1,71.9,123,5,0.01,285.6104,88,0,49.7,6,92,5.37,89,0.1,7496.336,9295784,2.8,2.8,0.742,11.8
8,2011,1,71.6,125,5,1.98,263.1427,84,0,48.8,6,91,5.1,87,0.1,7189.691,917382,2.8,2.9,0.741,11.7
8,2010,1,71.1,13,5,1.98,246.5686,8,0,48,6,85,5.33,81,0.1,5842.858,954332,2.8,2.9,0.737,11.7
8,2009,1,78,132,6,2.1,22.48638,74,0,47.3,6,84,5.85,81,0.1,495.2948,8947243,2.8,2.9,0.728,11.6
8,2008,1,73,141,6,1.18,206.2616,68,5,46.6,6,85,4.37,81,0.1,5574.638,87634,2.8,2.9,0.719,11.6
8,2007,1,73,14,6,1.02,176.0107,62,0,45.9,7,81,5.1,79,0.1,3851.438,85813,2.8,2.9,0.708,11.6
8,2006,1,69.2,154,6,0.85,105.6337,52,222,45.3,7,8,6.17,78,0.1,2473.858,848455,2.9,2.9,0.682,10.7
8,2005,1,68.4,162,6,0.73,81.28883,49,1238,44.7,7,79,7.86,75,0.1,1578.424,839185,2.9,3,0.675,11.2
8,2004,1,68.4,154,6,0.62,8.596805,5,827,44.2,8,78,7.92,77,0.1,145.2163,8365,3,3,0.668,11
8,2003,1,67.8,154,7,0.55,42.41491,51,1978,43.6,8,79,6.56,77,0.1,883.644,82341,3,3,0.659,10.8
8,2002,1,67.8,146,7,0.55,39.33254,5,4353,43.1,9,8,4.47,76,0.1,763.7386,817195,3.1,3.1,0.651,10.6
9,2014,1,71.4,132,98,0.01,10.4464,97,289,17.7,121,97,2.82,97,0.1,184.5654,1.594528e+007,18.1,18.6,0.57,10
9,2013,1,71,135,104,0.01,52.82986,96,237,17,130,96,2.88,96,0.1,951.8895,1.575713e+008,18.3,18.8,0.565,10
9,2012,1,77,137,111,0.01,59.25893,94,1986,16.4,139,94,3.8,94,0.1,856.3429,1.557275e+007,18.5,19,0.557,9.9
9,2011,1,73,14,118,0.01,62.34988,96,5625,15.8,150,96,3.16,96,0.1,835.7893,1.539119e+008,18.7,19.2,0.545,9.4
9,2010,1,69.9,142,126,0.01,62.65945,94,788,15.2,161,94,3.6,94,0.1,757.6718,1.521491e+007,18.9,19.4,0.535,8.9
9,2009,1,69.5,144,135,0.01,53.264,97,718,14.6,173,97,2.91,97,0.1,681.1254,1545478,19.1,19.7,0.523,8.4
9,2008,1,69.1,147,144,0.01,42.48865,96,2660,14,186,96,2.85,96,0.1,615.7775,1.488581e+007,19.3,19.9,0.52,8.6
9,2007,1,68.6,151,154,0.01,46.36537,95,2924,13.5,201,96,2.8,94,0.1,541.6515,1.471392e+008,19.5,2.1,0.513,8.6
9,2006,1,68.2,152,164,0.01,42.33045,86,6192,13,215,95,2.8,94,0.1,494.5147,1453684,19.7,2.3,0.506,8.4
9,2005,1,67.8,155,174,0.01,38.05462,45,25934,12.5,231,94,2.68,93,0.1,484.1555,1.434311e+007,19.9,2.5,0.499,8.2
9,2004,1,67.3,158,185,0.01,4.114697,11,9743,12,247,88,2.62,99,0.1,46.75792,1.413749e+007,2.1,2.7,0.491,8.1
9,2003,1,66.8,161,196,0.01,35.48459,5,4067,11.6,264,9,2.51,87,0.1,432.7389,139191,2.3,2.9,0.484,7.9
10,2014,1,72,199,0,13.94,1147.111,97,64,61.7,0,97,5.69,97,0.1,8318.429,9474511,1.9,2,0.796,15.7
10,2013,1,71.7,23,0,14.66,1109.855,98,16,61.1,1,98,6.7,98,0.1,7978.825,9465997,2,2,0.796,15.7
10,2012,1,71.9,194,0,16.35,91.70962,97,10,6.5,1,98,5.1,98,0.1,694.2439,9464495,2,2.1,0.793,15.6
10,2011,1,72,232,0,17.31,846.9113,98,50,59.9,1,98,4.92,98,0.1,6519.718,9473172,2,2.1,0.787,15.5
10,2010,1,73,222,0,14.44,8.494095,96,1,59.3,1,99,5.55,98,0.1,63.38877,949583,2,2.2,0.78,15.5
10,2009,1,70,226,0,14.09,434.7985,98,0,58.7,1,98,6.9,96,0.1,5176.173,956765,2.1,2.2,0.771,15.4
10,2008,1,70,224,1,14.67,501.8056,98,0,58.2,1,98,5.95,97,0.1,6376.183,9527985,2.1,2.3,0.755,15.1
10,2007,1,69.8,226,1,14.22,464.0775,91,1,57.7,1,9,6.44,95,0.1,4735.485,956953,2.2,2.3,0.739,14.9
10,2006,1,68.9,243,1,12.6,364.4261,98,149,57.2,1,97,6.34,99,0.1,3848.216,964924,2.2,2.4,0.723,14.6
10,2005,1,68.1,252,1,11.01,45.65008,99,1,56.7,1,98,6.89,99,0.1,3126.718,9663915,2.3,2.5,0.713,14.4
10,2004,1,68.2,247,1,12.05,42.33444,99,2,56.2,1,99,6.59,99,0.1,2378.339,973146,2.4,2.5,0.703,14.1
10,2003,1,67.7,253,1,11.17,23.83579,56,21,55.8,1,53,6.59,5,0.1,1819.526,9796749,2.5,2.6,0.695,13.9
10,2002,1,67.2,262,1,12.23,145.4234,99,14,55.3,1,99,6.47,99,0.1,1479.383,9865548,2.5,2.7,0.687,13.6
10,2001,1,67.7,254,1,10.74,14.06142,93,45,54.9,1,99,6.62,99,0.1,1244.373,9928549,2.6,2.7,0.681,13.3
10,2000,1,68,247,1,12.98,24.24948,7,21,54.4,1,99,6.13,99,0.1,1276.288,997961,2.7,2.8,0.675,13.1
11,2014,0,89,76,0,12.6,7163.349,98,70,63.4,1,99,1.59,99,0.1,47439.4,112957,1,1,0.89,16.3
11,2013,0,87,77,0,11.77,702.3594,98,39,63,1,99,1.57,99,0.1,4651.386,1.118282e+007,1,0.9,0.889,16.3
11,2012,0,83,78,0,10.08,664.4739,98,109,62.6,1,99,1.54,99,0.1,4474.572,1.112825e+007,0.9,0.9,0.886,16.2
11,2011,0,83,8,0,10.11,713.5297,97,576,62.3,1,98,1.42,98,0.1,4772.774,1147744,0.9,0.9,0.884,16.1
11,2010,0,80,81,0,10.22,665.7356,97,40,61.9,1,98,1.17,98,0.1,4438.237,1895586,0.9,0.9,0.878,15.9
11,2009,0,79.8,85,0,10.05,671.9377,97,33,61.6,1,98,1.39,98,0.1,4488.561,1796493,0.9,0.9,0.876,15.8
11,2008,0,79.5,87,0,10.47,7191.052,98,98,61.3,1,99,9.6,99,0.1,48424.59,179973,0.8,0.8,0.874,15.8
11,2007,0,79.5,86,0,10.25,640.3561,94,64,6.9,1,99,9.25,98,0.1,4443.831,16257,0.8,0.8,0.871,15.8
11,2006,0,79.4,85,0,10.98,5579.199,94,15,6.6,1,99,9.17,98,0.1,38852.36,1547958,0.8,0.8,0.865,15.7
11,2005,0,78.9,89,0,12.27,5068.214,77,26,6.2,1,97,9.24,97,0.1,36967.28,1478617,0.8,0.8,0.861,15.7
11,2004,0,78.8,91,1,12.05,5160.508,64,61,59.8,1,96,9.32,95,0.1,35589.71,1421137,0.8,0.8,0.88,18.8
11,2003,0,78.3,95,0,11.28,507.3062,64,44,59.4,1,96,9.3,95,0.1,3743.957,1376133,0.8,0.8,0.878,18.6
11,2002,0,78,99,1,11.29,320.3178,6,0,59,1,96,8.46,95,0.1,2552.333,1332785,0.8,0.8,0.875,18.8
11,2001,0,78,1,1,11.01,2943.375,6,83,58.5,1,96,8.29,95,0.1,23121.57,128657,0.8,0.8,0.873,18.2
11,2000,0,77.6,11,1,11.21,287.2085,6,0,58.1,1,96,8.12,95,0.1,2327.459,125125,0.8,0.8,0.869,18
12,2014,1,70,177,0,6.58,670.0921,95,0,5.1,0,95,5.79,95,0.2,4852.224,351694,3.4,3.4,0.705,12.8
12,2013,1,69.8,18,0,6.56,629.2019,95,0,49.3,0,95,5.79,95,0.2,4688.538,344181,3.4,3.4,0.706,12.9
12,2012,1,69.4,189,0,6.66,582.8027,98,0,48.5,0,98,5.45,98,0.1,4673.638,33671,3.5,3.4,0.702,12.5
12,2011,1,69.4,188,0,6.64,605.6287,95,0,47.8,0,95,5.61,95,0.5,4516.247,329192,3.5,3.4,0.7,12.4
12,2010,1,69.5,186,0,6.76,569.9527,96,0,47,0,96,5.85,96,0.2,4344.152,32168,3.5,3.4,0.7,12.4
12,2009,1,69.5,184,0,6.85,549.8096,97,0,46.3,0,98,5.81,97,0.3,4258.789,313929,3.5,3.4,0.7,12.7
12,2008,1,69.6,181,0,7.22,51.25232,94,0,45.7,0,94,5.9,94,0.1,447.228,36165,3.5,3.4,0.699,12.8
12,2007,1,69.6,181,0,7.24,69.63051,96,0,45,0,97,4.76,96,0.6,4324.876,29847,3.5,3.5,0.7,12.8
12,2006,1,69.4,184,0,6.48,387.3325,98,0,44.4,0,98,4.4,98,0.6,4187.378,29747,3.6,3.5,0.692,12.3
12,2005,1,69,191,0,6.25,365.7999,96,0,43.8,0,96,4.45,96,0.8,3933.332,283277,3.6,3.5,0.695,12.8
12,2004,1,68.7,197,0,6.2,325.6807,97,0,43.2,0,97,4.39,97,0.8,3831.538,27689,3.6,3.5,0.691,12.5
12,2003,1,68.4,21,0,5.67,312.7996,96,0,42.6,0,95,4.53,96,1.5,3679.995,26913,3.6,3.6,0.684,12.2
12,2002,1,68.5,199,0,4.99,262.8299,97,0,42,0,93,4.38,89,0.1,3556.562,26226,3.7,3.6,0.678,11.9
12,2001,1,68.2,21,0,4.9,251.6587,96,0,41.4,0,96,4.5,96,0.4,3419.276,254984,3.7,3.7,0.677,11.8
12,2000,1,68.3,196,0,4.79,219.024,76,0,4.8,0,91,3.98,91,0.3,3364.424,247315,3.8,3.7,0.668,11.7
13,2014,1,59.7,252,25,0.01,90.12207,78,786,25.2,39,74,4.59,78,1.1,943.6866,1286712,7.1,6.9,0.475,10.7
13,2013,1,59.5,251,25,0.01,87.40804,77,637,24.6,39,73,4.59,77,1.2,915.2675,14451,7.2,7.1,0.466,10.3
13,2012,1,59.3,251,25,0.01,9.804075,8,288,24.1,39,8,4.86,8,1.3,837.9551,972916,7.4,7.3,0.458,10
13,2011,1,59.1,251,25,1.4,110.2634,75,426,23.5,39,77,5.37,75,1.4,825.9428,94682,7.6,7.5,0.454,9.8
13,2010,1,58.7,254,25,1.33,94.25738,76,392,23,39,77,4.95,76,1.4,757.696,9199259,7.8,7.6,0.451,9.5
13,2009,1,58.4,259,25,1.16,71.01399,79,1461,22.5,39,8,4.46,79,1.6,793.4524,894476,7.9,7.8,0.448,9.3
13,2008,1,57.6,278,25,1.28,7.61543,75,928,22,39,77,4.2,75,1.8,82.15135,8696916,8.1,8,0.444,9.1
13,2007,1,57.1,283,25,1.12,7.492818,82,341,21.5,39,82,4.55,82,2,76.53542,8454791,8.3,8.2,0.438,8.9
13,2006,1,56.8,284,25,1.19,75.91429,74,176,21,39,76,4.75,74,2,625.8392,8216896,8.5,8.4,0.434,8.7
13,2005,1,56.5,285,25,1.13,7.106997,7,210,2.5,39,73,4.73,7,2.1,61.79998,7982225,8.7,8.6,0.43,8.5
13,2004,1,56.1,285,25,1.15,10.73628,75,262,2.1,39,74,4.56,72,2.1,583.4935,7754,8.9,8.8,0.423,8.1
13,2003,1,55.8,285,25,1.35,8.931827,73,217,19.7,40,75,4.63,73,2.1,519.2923,752555,9.1,9,0.416,7.7
13,2002,1,55.6,283,25,1.23,40.48815,15,1588,19.2,40,76,4.27,75,2.1,418.6986,7295394,9.3,9.2,0.407,7.3
14,2014,1,69.4,216,0,0.01,209.3921,99,0,23.6,1,98,3.57,99,0.5,2522.797,776448,15.7,16.2,0.596,12.5
14,2013,1,69.1,219,0,0.01,19.79057,97,0,22.7,1,97,3.83,97,0.6,235.8829,764961,15.9,16.5,0.589,12.6
14,2012,1,68.7,223,0,0.01,188.7374,97,1,21.9,1,97,3.7,97,0.6,2422.816,752967,16.1,16.7,0.581,12.3
14,2011,1,68.3,225,0,0.23,289.8524,95,10,21.1,1,95,4.73,95,0.5,2458.46,7451,16.3,17,0.572,11.9
14,2010,1,67.9,228,1,0.28,244.0392,91,21,2.3,1,92,5.17,91,0.5,2178.921,727641,16.6,17.3,0,11.4
